Variable,Season,Location,Value,ensemble,machine
ta,DJF,Global,11.287,p002,lumi
ta,DJF,North Midlat,3.676,p002,lumi
ta,DJF,Tropical,5.182,p002,lumi
ta,DJF,South Midlat,31.108,p002,lumi
ta,JJA,Global,18.062,p002,lumi
ta,JJA,North Midlat,54.182,p002,lumi
ta,JJA,Tropical,6.355,p002,lumi
ta,JJA,South Midlat,5.357,p002,lumi
ua,ALL,Global,3.823,p002,lumi
ua,ALL,North Midlat,2.265,p002,lumi
ua,ALL,Tropical,4.182,p002,lumi
ua,ALL,South Midlat,4.662,p002,lumi
ua,DJF,Global,2.67,p002,lumi
ua,DJF,North Midlat,0.834,p002,lumi
ua,DJF,Tropical,3.168,p002,lumi
ua,DJF,South Midlat,3.509,p002,lumi
ua,JJA,Global,9.32,p002,lumi
ua,JJA,North Midlat,4.988,p002,lumi
ua,JJA,Tropical,15.637,p002,lumi
ua,JJA,South Midlat,1.016,p002,lumi
va,ALL,Global,3.751,p002,lumi
va,ALL,North Midlat,2.017,p002,lumi
va,ALL,Tropical,2.225,p002,lumi
va,ALL,South Midlat,8.536,p002,lumi
va,DJF,Global,2.868,p002,lumi
va,DJF,North Midlat,0.97,p002,lumi
va,DJF,Tropical,3.325,p002,lumi
va,DJF,South Midlat,3.852,p002,lumi
va,JJA,Global,4.888,p002,lumi
va,JJA,North Midlat,2.597,p002,lumi
va,JJA,Tropical,6.313,p002,lumi
va,JJA,South Midlat,4.331,p002,lumi
hus,ALL,Global,3.64,p002,lumi
hus,ALL,North Midlat,2.714,p002,lumi
hus,ALL,Tropical,2.915,p002,lumi
hus,ALL,South Midlat,6.014,p002,lumi
hus,DJF,Global,6.713,p002,lumi
hus,DJF,North Midlat,7.82,p002,lumi
hus,DJF,Tropical,5.492,p002,lumi
hus,DJF,South Midlat,8.047,p002,lumi
hus,JJA,Global,13.847,p002,lumi
hus,JJA,North Midlat,24.387,p002,lumi
hus,JJA,Tropical,10.673,p002,lumi
hus,JJA,South Midlat,9.652,p002,lumi
sos,ALL,Global,137373900299.065,p002,lumi
sos,ALL,North Midlat,120906599845.949,p002,lumi
sos,ALL,Tropical,73558577537.114,p002,lumi
sos,ALL,South Midlat,252654370848.591,p002,lumi
sos,DJF,Global,96056914805.028,p002,lumi
sos,DJF,North Midlat,101456449202.428,p002,lumi
sos,DJF,Tropical,47320609642.204,p002,lumi
sos,DJF,South Midlat,174908896503.122,p002,lumi
sos,JJA,Global,108240729258.099,p002,lumi
sos,JJA,North Midlat,77550543712.736,p002,lumi
sos,JJA,Tropical,54657551662.844,p002,lumi
sos,JJA,South Midlat,213657151809.626,p002,lumi
siconc,ALL,Global,1.281,p002,lumi
siconc,ALL,North Midlat,1.787,p002,lumi
siconc,ALL,Tropical,,p002,lumi
siconc,ALL,South Midlat,0.924,p002,lumi
siconc,DJF,Global,6.537,p002,lumi
siconc,DJF,North Midlat,2.035,p002,lumi
siconc,DJF,Tropical,,p002,lumi
siconc,DJF,South Midlat,8.497,p002,lumi
siconc,JJA,Global,3.871,p002,lumi
siconc,JJA,North Midlat,4.638,p002,lumi
siconc,JJA,Tropical,,p002,lumi
siconc,JJA,South Midlat,3.444,p002,lumi
psl,ALL,Global,2.469,p003,lumi
psl,ALL,North Midlat,2.013,p003,lumi
psl,ALL,Tropical,2.773,p003,lumi
psl,ALL,South Midlat,2.318,p003,lumi
psl,DJF,Global,1.116,p003,lumi
psl,DJF,North Midlat,0.652,p003,lumi
psl,DJF,Tropical,1.4,p003,lumi
psl,DJF,South Midlat,1.011,p003,lumi
psl,JJA,Global,3.158,p003,lumi
psl,JJA,North Midlat,4.044,p003,lumi
psl,JJA,Tropical,3.662,p003,lumi
psl,JJA,South Midlat,1.266,p003,lumi
tas,ALL,Global,23.016,p003,lumi
tas,ALL,North Midlat,10.592,p003,lumi
tas,ALL,Tropical,35.461,p003,lumi
tas,ALL,South Midlat,17.557,p003,lumi
tas,DJF,Global,14.282,p003,lumi
tas,DJF,North Midlat,6.506,p003,lumi
tas,DJF,Tropical,21.827,p003,lumi
tas,DJF,South Midlat,13.87,p003,lumi
tas,JJA,Global,28.495,p003,lumi
tas,JJA,North Midlat,27.656,p003,lumi
tas,JJA,Tropical,30.796,p003,lumi
tas,JJA,South Midlat,10.215,p003,lumi
pr,ALL,Global,,p003,lumi
pr,ALL,North Midlat,,p003,lumi
pr,ALL,Tropical,,p003,lumi
pr,ALL,South Midlat,,p003,lumi
pr,DJF,Global,,p003,lumi
pr,DJF,North Midlat,,p003,lumi
pr,DJF,Tropical,,p003,lumi
pr,DJF,South Midlat,,p003,lumi
